  ID    X   Y 
    1  614  69 
    2  612  69 
    3  610  69  
    4  611  69 
    5  615  69 
    6  613  69 
    7  615  70 
    8  610  70 
    9  611  70  
   10  617  70 
   11  612  70 
   12  613  70 
   13  614  70 
   14  616  70 
   15  615  71 
   16  613  71 
   17  616  71 
   18  611  71 
   19  617  71 
   20  618  71
   21  610  71
   22  614  71
   23  612  71
   24  612  72
   25  613  72 
   26  614  72
   27  610  72
   28  616  72
   29  611  72 
   30  615  72
   31  617  72 
   32  618  72
   33  613  73
   34  616  73
   35  614  73
   36  612  73
   37  618  73
   38  617  73
   39  611  73
   40  615  73
   41  610  73 
   42  617  74
   43  618  74  
   44  611  74  
   45  616  74   
   46  614  74  
   47  613  74   
   48  612  74  
   49  610  74  
   50  615  74 

    1  528  408  
    2  527  408  
    3  526  408  
    4  525  408  
    5  529  409  
    6  528  409 
    7  527  409 
    8  524  409 
    9  525  409 
   10  526  409 
   11  523  410 
   12  524  410 
   13  525  410 
   14  526  410 
   15  527  410  
   16  528  410 
   17  530  410 
   18  529  410 
   19  523  411 
   20  530  411 
   21  528  411 
   22  529  411 
   23  527  411 
   24  524  411 
   25  526  411 
   26  525  411
   27  525  412 
   28  526  412  
   29  523  412  
   30  524  412  
   31  530  412  
   32  527  412  
   33  529  412  
   34  528  412  
   35  523  413 
   36  528  413 
   37  529  413 
   38  527  413 
   39  526  413 
   40  525  413 
   41  524  413  
   42  524  414 
   43  525  414 
   44  526  414 
   45  527  414 
   46  528  414 
   47  529  414 
   48  525  415 
   49  527  415 
   50  526  415

    1  82  204 
    2  81  204  
    3  80  204  
    4  79  204  
    5  79  205 
    6  78  205 
    7  82  205 
    8  83  205
    9  81  205
   10  80  205 
   11  84  206 
   12  77  206 
   13  79  206 
   14  80  206 
   15  81  206 
   16  82  206 
   17  83  206 
   18  78  206 
   19  81  207 
   20  78  207 
   21  77  207 
   22  84  207 
   23  79  207 
   24  80  207  
   25  83  207 
   26  82  207 
   27  82  208 
   28  81  208 
   29  80  208 
   30  83  208 
   31  77  208 
   32  78  208 
   33  84  208 
   34  79  208 
   35  78  209 
   36  83  209 
   37  84  209 
   38  82  209 
   39  80  209 
   40  79  209 
   41  81  209 
   42  78  210 
   43  81  210 
   44  82  210 
   45  83  210 
   46  80  210 
   47  79  210 
   48  81  211 
   49  80  211 
   50  82  211 

    1  81  385 
    2  82  385 
    3  84  386 
    4  83  386 
    5  82  386 
    6  80  386 
    7  81  386 
    8  80  387 
    9  84  387 
   10  83  387 
   11  82  387 
   12  81  387 
   13  83  388 
   14  85  388 
   15  82  388 
   16  81  388 
   17  84  388 
   18  85  389 
   19  86  389 
   20  83  389 
   21  82  389 
   22  84  389 
   23  87  390 
   24  84  390 
   25  85  390 
   26  86  390 
   27  83  390 
   28  85  391 
   29  86  391 
   30  84  391 
   31  87  391 
   32  88  392 
   33  84  392 
   34  85  392 
   35  87  392 
   36  86  392 
   37  88  393 
   38  85  393 
   39  86  393 
   40  87  393 
   41  86  394 
   42  89  394 
   43  87  394 
   44  88  394 
   45  88  395 
   46  89  395 
   47  87  395 
   48  86  395 
   49  89  396 
   50  88  396 

    1  284  263 
    2  285  264 
    3  284  264 
    4  283  264 
    5  286  265 
    6  285  265 
    7  282  265 
    8  283  265 
    9  284  265 
   10  287  266 
   11  285  266 
   12  282  266 
   13  284  266 
   14  283  266 
   15  286  266 
   16  281  266 
   17  282  267 
   18  286  267 
   19  283  267 
   20  287  267 
   21  280  267 
   22  288  267  
   23  284  267  
   24  285  267 
   25  281  267 
   26  282  268 
   27  285  268 
   28  287  268 
   29  284  268 
   30  283  268  
   31  280  268 
   32  286  268 
   33  281  268 
   34  288  268 
   35  283  269  
   36  281  269  
   37  282  269  
   38  287  269  
   39  285  269  
   40  286  269  
   41  284  269  
   42  285  270  
   43  283  270  
   44  282  270  
   45  286  270  
   46  284  270  
   47  284  271  
   48  283  271  
   49  285  271  
   50  284  272  
